Renewable electricity: number of installations at Local Authority Level - as at end of 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some cells refer to notes which can be found on the notes worksheet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Authority Code [note 1],Local Authority Name  [note 5][note 6][note 7] [note 8][note 9],Region,Country,Estimated number of households  [note 2][note 3][note 4],Photovoltaics,Onshore Wind,Hydro,Anaerobic Digestion,Offshore Wind,Wave/Tidal,Sewage Gas,Landfill Gas,Municipal Solid Waste,Animal Biomass,Plant Biomass,Cofiring,Total,,,,,,,,,,,,,
E07000108,Dover,South East,England," 50,500 ","3,017 ",4 ,0 ,2 ,1 ,0 ,1 ,0 ,0 ,0 ,3 ,0 ,"3,028 ",,,,,,,,,,,,,
E08000027,Dudley,West Midlands,England," 137,100 ","4,259 ",0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,"4,261 ",,,,,,,,,,,,,
S12000006,Dumfries and Galloway,Scotland,Scotland," 70,972 ","7,308 ",318 ,84 ,19 ,2 ,0 ,0 ,1 ,1 ,0 ,18 ,0 ,"7,751 ",,,,,,,,,,,,,
S12000042,Dundee City,Scotland,Scotland," 71,098 ","2,881 ",4 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,"2,888 ",,,,,,,,,,,,,
E09000009,Ealing,London,England," 133,700 ","3,350 ",2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,"3,353 ",,,,,,,,,,,,,
S12000008,East Ayrshire,Scotland,Scotland," 56,162 ","3,768 ",76 ,6 ,0 ,0 ,0 ,1 ,2 ,0 ,0 ,1 ,0 ,"3,854 ",,,,,,,,,,,,,
E07000009,East Cambridgeshire,Eastern,England," 37,200 ","3,740 ",7 ,0 ,4 ,0 ,0 ,0 ,2 ,0 ,0 ,3 ,0 ,"3,756 ",,,,,,,,,,,,,
E07000040,East Devon,South West,England," 66,800 ","7,414 ",14 ,2 ,5 ,0 ,0 ,1 ,0 ,0 ,0 ,2 ,0 ,"7,438 ",,,,,,,,,,,,,
S12000045,East Dunbartonshire,Scotland,Scotland," 46,743 ","1,911 ",1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,913 ",,,,,,,,,,,,,
E07000085,East Hampshire,South East,England," 52,700 ","6,529 ",2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"6,531 ",,,,,,,,,,,,,
E07000242,East Hertfordshire,Eastern,England," 62,000 ","3,468 ",4 ,0 ,4 ,0 ,0 ,1 ,3 ,0 ,0 ,0 ,0 ,"3,480 ",,,,,,,,,,,,,
E07000137,East Lindsey,East Midlands,England," 64,800 ","6,757 ",28 ,0 ,10 ,2 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,"6,800 ",,,,,,,,,,,,,
S12000010,East Lothian,Scotland,Scotland," 50,562 ","6,352 ",49 ,2 ,0 ,2 ,0 ,0 ,1 ,1 ,0 ,1 ,0 ,"6,408 ",,,,,,,,,,,,,
